topic82 | 0.0215520226914,good 0.28 | let 0.12 | wait 0.1 | hous 0.07 | stay 0.07 | long 0.06 | twitter 0.06 | leav 0.05 | safe 0.03 | lord 0.03 | clean 0.02 | strong 0.02 | luck 0.02 | store 0.01 | til 0.01 | rule 0.01 | loud 0.01 | 3rd 0.01 | clutch 0.0 | fox 0.0 | invent 0.0 | condit 0.0 | waffl 0.0 | solv 0.0 | skype 0.0 | tumblr 0.0 | paradis 0.0 | salsa 0.0 | snuggl 0.0 | sneez 0.0 | hippi 0.0 | barrel 0.0 | carthag 0.0 | backroad 0.0 | seth 0.0 | munchi 0.0 | kisser 0.0 | backseat 0.0 | lasagna 0.0 | fore 0.0 | foreal 0.0 | forearm 0.0 | foreign 0.0 | forehead 0.0 | focu 0.0 | focus 0.0 | foam 0.0 | forecast 0.0 | forest 0.0 | foreman 0.0 | fncsummer 0.0 | ford 0.0 | fmrevolut 0.0 | forev 0.0 | fml 0.0 | foreveralon 0.0 | foreverlsu 0.0 | flyin 0.0 | forg 0.0 | forget 0.0 | forgiv 0.0 | forgiven 0.0 | flyer 0.0 | forgot 0.0 | foe 0.0 | forc 0.0 | fog 0.0 | foh 0.0 | followforfollow 0.0 | followfriday 0.0 | followm 0.0 | followmefredo 0.0 | fond 0.0 | fone 0.0 | font 0.0 | foo 0.0 | food 0.0 | foodgasm 0.0 | foodi 0.0 | foodporn 0.0 | followbackseguro 0.0 | foodtruckrelief 0.0 | fool 0.0 | foolin 0.0 | followbacknocturno 0.0 | followbackdesvelado 0.0 | forgotten 0.0 | foot 0.0 | footag 0.0 | footbal 0.0 | followback 0.0 | follow2befollow 0.0 | footprint 0.0 | follow 0.0 | folk 0.0 | fold 0.0 | foil 0.0 | foolish 0.0 | يوم 0.0 | fork 0.0
topic57 | 0.0208701064062,love 0.47 | friend 0.15 | heart 0.06 | water 0.03 | instagram 0.02 | coffe 0.02 | apart 0.01 | shoe 0.01 | broken 0.01 | taco 0.01 | ignor 0.01 | smell 0.01 | hello 0.01 | stat 0.01 | blood 0.01 | bell 0.01 | chillin 0.01 | nail 0.01 | glass 0.01 | moon 0.01 | wine 0.01 | paint 0.01 | finna 0.01 | bowl 0.01 | spread 0.01 | click 0.01 | bff 0.0 | excel 0.0 | whore 0.0 | roadtrip 0.0 | gear 0.0 | awwww 0.0 | spray 0.0 | deck 0.0 | constant 0.0 | mucho 0.0 | knife 0.0 | runner 0.0 | plot 0.0 | meh 0.0 | magazin 0.0 | glove 0.0 | stun 0.0 | juan 0.0 | eatin 0.0 | champagn 0.0 | popsicl 0.0 | sox 0.0 | vitamin 0.0 | lust 0.0 | boner 0.0 | java 0.0 | hose 0.0 | foreign 0.0 | foreman 0.0 | fork 0.0 | fold 0.0 | foreveralon 0.0 | forest 0.0 | forev 0.0 | foil 0.0 | followm 0.0 | forgiven 0.0 | followfriday 0.0 | followback 0.0 | forgotten 0.0 | foreverlsu 0.0 | followforfollow 0.0 | forehead 0.0 | fog 0.0 | forg 0.0 | forget 0.0 | followbackdesvelado 0.0 | forgiv 0.0 | forgot 0.0 | foh 0.0 | forearm 0.0 | follow2befollow 0.0 | forecast 0.0 | fone 0.0 | font 0.0 | follow 0.0 | foo 0.0 | food 0.0 | foodgasm 0.0 | foodi 0.0 | foodporn 0.0 | form 0.0 | foodtruckrelief 0.0 | fool 0.0 | foolin 0.0 | foolish 0.0 | followmefredo 0.0 | foot 0.0 | footag 0.0 | footbal 0.0 | followbackseguro 0.0 | footprint 0.0 | forc 0.0 | folk 0.0
topic73 | 0.0198791682911,like 0.54 | tell 0.09 | everyth 0.06 | ask 0.06 | late 0.04 | laugh 0.03 | sing 0.02 | bet 0.02 | babe 0.02 | alright 0.02 | daddi 0.01 | daili 0.01 | path 0.01 | hors 0.01 | stare 0.01 | tabl 0.01 | slept 0.01 | feelin 0.0 | arrow 0.0 | forreal 0.0 | quarter 0.0 | johnni 0.0 | tini 0.0 | nooo 0.0 | brush 0.0 | foreal 0.0 | cowork 0.0 | guid 0.0 | youuuu 0.0 | grape 0.0 | barbi 0.0 | insert 0.0 | forrest 0.0 | gump 0.0 | janet 0.0 | foreman 0.0 | forest 0.0 | foreign 0.0 | foreveralon 0.0 | forecast 0.0 | forev 0.0 | forehead 0.0 | يوم 0.0 | foreverlsu 0.0 | forg 0.0 | forget 0.0 | forgiv 0.0 | forgiven 0.0 | forgot 0.0 | forgotten 0.0 | fork 0.0 | form 0.0 | formal 0.0 | format 0.0 | formula 0.0 | forearm 0.0 | foolish 0.0 | fore 0.0 | ford 0.0 | followfriday 0.0 | followforfollow 0.0 | followbackseguro 0.0 | followbacknocturno 0.0 | followbackdesvelado 0.0 | followback 0.0 | follow2befollow 0.0 | follow 0.0 | folk 0.0 | fold 0.0 | foil 0.0 | foh 0.0 | fog 0.0 | foe 0.0 | focus 0.0 | followm 0.0 | followmefredo 0.0 | fond 0.0 | fool 0.0 | forc 0.0 | footprint 0.0 | footbal 0.0 | footag 0.0 | foot 0.0 | foolin 0.0 | foodtruckrelief 0.0 | fone 0.0 | foodporn 0.0 | foodi 0.0 | foodgasm 0.0 | food 0.0 | foo 0.0 | font 0.0 | forsur 0.0 | fosho 0.0 | fort 0.0 | freind 0.0 | freshmen 0.0 | freshman 0.0 | freshli 0.0 | fresh 0.0
topic50 | 0.0184082298179,peopl 0.27 | got 0.25 | better 0.12 | chang 0.06 | mad 0.04 | reason 0.04 | problem 0.04 | smh 0.03 | save 0.02 | dead 0.02 | cloth 0.01 | wors 0.01 | poor 0.01 | forgiv 0.01 | alot 0.01 | thirsti 0.01 | aye 0.01 | cali 0.01 | shock 0.0 | pillow 0.0 | isnt 0.0 | safeti 0.0 | zero 0.0 | yesss 0.0 | rent 0.0 | overcom 0.0 | auto 0.0 | bash 0.0 | miguel 0.0 | chelsea 0.0 | goodi 0.0 | tweetin 0.0 | mayn 0.0 | chu 0.0 | oblig 0.0 | lmfaoo 0.0 | forest 0.0 | foreman 0.0 | forev 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | يوم 0.0 | forgot 0.0 | foreveralon 0.0 | foreverlsu 0.0 | forg 0.0 | forget 0.0 | forgiven 0.0 | foreal 0.0 | forgotten 0.0 | fork 0.0 | form 0.0 | formal 0.0 | format 0.0 | formula 0.0 | forreal 0.0 | forrest 0.0 | forearm 0.0 | foolish 0.0 | fore 0.0 | follow 0.0 | followfriday 0.0 | followforfollow 0.0 | followbackseguro 0.0 | followbacknocturno 0.0 | followbackdesvelado 0.0 | followback 0.0 | follow2befollow 0.0 | folk 0.0 | ford 0.0 | fold 0.0 | foil 0.0 | foh 0.0 | fog 0.0 | foe 0.0 | focus 0.0 | focu 0.0 | followm 0.0 | followmefredo 0.0 | fond 0.0 | fone 0.0 | forc 0.0 | footprint 0.0 | footbal 0.0 | footag 0.0 | foot 0.0 | fort 0.0 | foolin 0.0 | fool 0.0 | foodtruckrelief 0.0 | foodporn 0.0 | foodi 0.0 | foodgasm 0.0 | food 0.0 | foo 0.0 | font 0.0 | forsur 0.0 | foster 0.0 | forth 0.0
topic12 | 0.0180332534339,new 0.19 | tonight 0.16 | great 0.14 | someth 0.1 | check 0.06 | video 0.06 | music 0.05 | outsid 0.03 | goin 0.02 | fit 0.01 | app 0.01 | gift 0.01 | anybodi 0.01 | hurri 0.01 | album 0.01 | soul 0.01 | download 0.01 | horribl 0.01 | hater 0.01 | talent 0.01 | tryin 0.01 | lover 0.01 | nut 0.01 | joe 0.01 | mcdonald 0.0 | cheap 0.0 | mobil 0.0 | hog 0.0 | mostli 0.0 | lemm 0.0 | tyson 0.0 | rage 0.0 | stud 0.0 | destini 0.0 | tent 0.0 | foo 0.0 | consum 0.0 | hotter 0.0 | experienc 0.0 | nugget 0.0 | mart 0.0 | jessi 0.0 | ment 0.0 | upcom 0.0 | squeez 0.0 | wal 0.0 | diggin 0.0 | lien 0.0 | vinyl 0.0 | forgot 0.0 | forecast 0.0 | forearm 0.0 | foreal 0.0 | forehead 0.0 | forgiven 0.0 | foreign 0.0 | forgiv 0.0 | foreman 0.0 | forest 0.0 | forget 0.0 | forev 0.0 | forg 0.0 | foreverlsu 0.0 | foreveralon 0.0 | يوم 0.0 | foot 0.0 | fore 0.0 | folk 0.0 | followforfollow 0.0 | followbackseguro 0.0 | followbacknocturno 0.0 | followbackdesvelado 0.0 | followback 0.0 | follow2befollow 0.0 | follow 0.0 | fold 0.0 | ford 0.0 | foil 0.0 | foh 0.0 | fog 0.0 | foe 0.0 | focus 0.0 | focu 0.0 | foam 0.0 | followfriday 0.0 | followm 0.0 | followmefredo 0.0 | fond 0.0 | forc 0.0 | footprint 0.0 | footbal 0.0 | footag 0.0 | fork 0.0 | foolish 0.0 | foolin 0.0 | fool 0.0 | foodtruckrelief 0.0 | foodporn 0.0 | foodi 0.0 | foodgasm 0.0
topic84 | 0.0180326916936,lol 0.56 | big 0.09 | lil 0.04 | line 0.03 | ugh 0.03 | ago 0.03 | ppl 0.02 | blue 0.02 | mother 0.02 | norman 0.02 | cousin 0.02 | crack 0.02 | boat 0.01 | grandma 0.01 | stfu 0.01 | bunch 0.01 | gold 0.01 | sam 0.01 | tat 0.0 | process 0.0 | welp 0.0 | jay 0.0 | grove 0.0 | trial 0.0 | brag 0.0 | thigh 0.0 | desk 0.0 | stink 0.0 | playa 0.0 | march 0.0 | carter 0.0 | helmet 0.0 | ooh 0.0 | sausag 0.0 | jami 0.0 | scooter 0.0 | tahlequah 0.0 | dork 0.0 | heyyy 0.0 | bumpin 0.0 | hve 0.0 | wahhhh 0.0 | debbi 0.0 | foreign 0.0 | formula 0.0 | forehead 0.0 | forreal 0.0 | format 0.0 | forest 0.0 | foreman 0.0 | formal 0.0 | forev 0.0 | form 0.0 | fork 0.0 | forgotten 0.0 | forgot 0.0 | forgiven 0.0 | forgiv 0.0 | forget 0.0 | forg 0.0 | forecast 0.0 | foreverlsu 0.0 | foreveralon 0.0 | يوم 0.0 | forearm 0.0 | fone 0.0 | followmefredo 0.0 | followm 0.0 | followfriday 0.0 | followforfollow 0.0 | followbackseguro 0.0 | followbacknocturno 0.0 | followbackdesvelado 0.0 | followback 0.0 | follow2befollow 0.0 | follow 0.0 | folk 0.0 | fold 0.0 | foil 0.0 | foh 0.0 | fog 0.0 | fond 0.0 | font 0.0 | foreal 0.0 | foo 0.0 | fore 0.0 | ford 0.0 | forc 0.0 | footprint 0.0 | footbal 0.0 | forrest 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | fool 0.0 | foodtruckrelief 0.0 | foodporn 0.0 | foodi 0.0 | foodgasm 0.0 | food 0.0
topic32 | 0.0178481168481,day 0.43 | hate 0.14 | school 0.08 | movi 0.07 | minut 0.04 | wow 0.04 | pass 0.03 | monday 0.02 | dat 0.01 | convers 0.01 | emot 0.01 | tuesday 0.01 | choos 0.01 | tim 0.01 | traffic 0.01 | taylor 0.01 | argu 0.01 | liar 0.01 | empti 0.01 | highlight 0.0 | gurl 0.0 | batman 0.0 | papa 0.0 | wore 0.0 | fabul 0.0 | castl 0.0 | racist 0.0 | lung 0.0 | shutup 0.0 | penguin 0.0 | granni 0.0 | str 0.0 | 22nd 0.0 | foreveralon 0.0 | flashback 0.0 | banquet 0.0 | allll 0.0 | oxygen 0.0 | elvi 0.0 | rtrtrt 0.0 | addison 0.0 | foreverlsu 0.0 | forev 0.0 | forsur 0.0 | forrest 0.0 | fort 0.0 | formula 0.0 | forreal 0.0 | forest 0.0 | forg 0.0 | forget 0.0 | forgiv 0.0 | format 0.0 | formal 0.0 | form 0.0 | forgiven 0.0 | fork 0.0 | forgot 0.0 | forgotten 0.0 | يوم 0.0 | forearm 0.0 | foreman 0.0 | foodgasm 0.0 | foo 0.0 | font 0.0 | fone 0.0 | fond 0.0 | followmefredo 0.0 | followm 0.0 | followfriday 0.0 | followforfollow 0.0 | followbackseguro 0.0 | followbacknocturno 0.0 | followbackdesvelado 0.0 | followback 0.0 | follow2befollow 0.0 | follow 0.0 | folk 0.0 | food 0.0 | foodi 0.0 | foreign 0.0 | foodporn 0.0 | forehead 0.0 | forecast 0.0 | fortress 0.0 | foreal 0.0 | fore 0.0 | ford 0.0 | forc 0.0 | footprint 0.0 | footbal 0.0 | footag 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | fool 0.0 | foodtruckrelief 0.0 | forth 0.0 | foto 0.0 | fortsmith 0.0
topic43 | 0.0172592207901,know 0.41 | gonna 0.14 | dont 0.06 | wake 0.05 | dude 0.04 | trip 0.03 | freak 0.03 | knew 0.02 | dang 0.02 | cover 0.02 | sexi 0.02 | quot 0.01 | ran 0.01 | usual 0.01 | compani 0.01 | mall 0.01 | florida 0.01 | restaur 0.01 | honest 0.01 | brain 0.01 | bother 0.01 | silli 0.01 | def 0.01 | zoo 0.01 | patriot 0.0 | exact 0.0 | fave 0.0 | mate 0.0 | cabl 0.0 | fck 0.0 | soml 0.0 | sexiest 0.0 | musician 0.0 | evacu 0.0 | juici 0.0 | 1pm 0.0 | driveway 0.0 | judgement 0.0 | loveee 0.0 | mauri 0.0 | mannnn 0.0 | amish 0.0 | form 0.0 | forehead 0.0 | forgot 0.0 | forget 0.0 | forgiven 0.0 | forgiv 0.0 | foreverlsu 0.0 | foreign 0.0 | fork 0.0 | foreman 0.0 | forest 0.0 | forecast 0.0 | forg 0.0 | forev 0.0 | foreveralon 0.0 | forgotten 0.0 | يوم 0.0 | forearm 0.0 | followbackdesvelado 0.0 | fond 0.0 | followmefredo 0.0 | followm 0.0 | followfriday 0.0 | followforfollow 0.0 | followbackseguro 0.0 | followbacknocturno 0.0 | followback 0.0 | foreal 0.0 | follow2befollow 0.0 | follow 0.0 | folk 0.0 | fold 0.0 | foil 0.0 | foh 0.0 | fog 0.0 | fone 0.0 | font 0.0 | foo 0.0 | food 0.0 | fore 0.0 | ford 0.0 | forc 0.0 | footprint 0.0 | footbal 0.0 | format 0.0 | footag 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | fool 0.0 | foodtruckrelief 0.0 | foodporn 0.0 | foodi 0.0 | foodgasm 0.0 | formal 0.0 | fortun 0.0 | formula 0.0 | freeway 0.0
topic75 | 0.0170209018902,time 0.38 | need 0.31 | mind 0.06 | center 0.03 | smoke 0.03 | roll 0.02 | sun 0.02 | small 0.02 | fam 0.01 | low 0.01 | fri 0.01 | motiv 0.01 | asap 0.01 | burger 0.01 | xbox 0.01 | trend 0.01 | screen 0.01 | float 0.01 | loos 0.01 | sight 0.0 | assist 0.0 | proof 0.0 | patienc 0.0 | topic 0.0 | research 0.0 | chesapeak 0.0 | bun 0.0 | clinic 0.0 | rant 0.0 | corpor 0.0 | tay 0.0 | 400 0.0 | blank 0.0 | jst 0.0 | reliv 0.0 | weeni 0.0 | skull 0.0 | healthcar 0.0 | yummm 0.0 | foodtruckrelief 0.0 | fool 0.0 | follow2befollow 0.0 | foreign 0.0 | foreman 0.0 | follow 0.0 | forest 0.0 | forev 0.0 | foreveralon 0.0 | folk 0.0 | fold 0.0 | foreverlsu 0.0 | forg 0.0 | forget 0.0 | forgiv 0.0 | forgiven 0.0 | foil 0.0 | foh 0.0 | forgot 0.0 | forgotten 0.0 | fog 0.0 | foe 0.0 | fork 0.0 | form 0.0 | formal 0.0 | format 0.0 | formula 0.0 | forehead 0.0 | followback 0.0 | followbackdesvelado 0.0 | fone 0.0 | foolin 0.0 | foolish 0.0 | foodporn 0.0 | foodi 0.0 | foodgasm 0.0 | food 0.0 | foo 0.0 | footag 0.0 | footbal 0.0 | footprint 0.0 | font 0.0 | fond 0.0 | followbacknocturno 0.0 | followmefredo 0.0 | followm 0.0 | followfriday 0.0 | followforfollow 0.0 | forc 0.0 | followbackseguro 0.0 | ford 0.0 | fore 0.0 | foreal 0.0 | forearm 0.0 | forecast 0.0 | foot 0.0 | يوم 0.0 | forreal 0.0 | freeway 0.0 | fresh 0.0 | frequent 0.0
topic88 | 0.0155735756506,thank 0.33 | fuck 0.24 | damn 0.11 | cool 0.09 | welcom 0.04 | kiss 0.03 | dear 0.02 | pussi 0.02 | shawne 0.01 | android 0.01 | teen 0.01 | vibe 0.01 | besid 0.01 | statu 0.01 | trap 0.01 | yoga 0.01 | cell 0.01 | mcm 0.01 | sugar 0.01 | nick 0.0 | desper 0.0 | intent 0.0 | slowli 0.0 | dylan 0.0 | wwe 0.0 | xoxo 0.0 | hoodi 0.0 | popul 0.0 | sunburnt 0.0 | vomit 0.0 | shield 0.0 | weeknd 0.0 | forgiv 0.0 | forc 0.0 | format 0.0 | formal 0.0 | form 0.0 | fork 0.0 | forgotten 0.0 | forgot 0.0 | ford 0.0 | fore 0.0 | foreal 0.0 | forgiven 0.0 | forest 0.0 | forev 0.0 | forget 0.0 | forg 0.0 | foreverlsu 0.0 | forearm 0.0 | foreveralon 0.0 | forecast 0.0 | forehead 0.0 | foreign 0.0 | foreman 0.0 | footbal 0.0 | footprint 0.0 | fncsummer 0.0 | footag 0.0 | foot 0.0 | followbackdesvelado 0.0 | followback 0.0 | follow2befollow 0.0 | follow 0.0 | folk 0.0 | fml 0.0 | fold 0.0 | foil 0.0 | foh 0.0 | fog 0.0 | foe 0.0 | fmrevolut 0.0 | focus 0.0 | focu 0.0 | foam 0.0 | followbacknocturno 0.0 | followbackseguro 0.0 | followforfollow 0.0 | foodgasm 0.0 | foolish 0.0 | foolin 0.0 | foodtruckrelief 0.0 | foodporn 0.0 | formula 0.0 | foodi 0.0 | food 0.0 | followfriday 0.0 | foo 0.0 | font 0.0 | fone 0.0 | fond 0.0 | followmefredo 0.0 | followm 0.0 | fool 0.0 | يوم 0.0 | forreal 0.0 | freestyl 0.0 | frequent 0.0 | frequenc 0.0 | french 0.0
topic85 | 0.0155325735515,work 0.28 | home 0.16 | famili 0.1 | thought 0.09 | moor 0.09 | suck 0.05 | alon 0.03 | tan 0.02 | success 0.02 | blow 0.02 | list 0.02 | gettin 0.02 | especi 0.02 | momma 0.01 | rap 0.01 | shift 0.01 | rescu 0.01 | steel 0.01 | laundri 0.01 | contest 0.0 | wen 0.0 | dare 0.0 | electr 0.0 | bucket 0.0 | prop 0.0 | italian 0.0 | brunch 0.0 | ginger 0.0 | sundayfunday 0.0 | largest 0.0 | texter 0.0 | hottest 0.0 | drill 0.0 | ughhhh 0.0 | peed 0.0 | glenpool 0.0 | importantli 0.0 | sherman 0.0 | easton 0.0 | ford 0.0 | forc 0.0 | footprint 0.0 | fork 0.0 | form 0.0 | foreal 0.0 | fore 0.0 | forget 0.0 | forearm 0.0 | forg 0.0 | forgot 0.0 | forecast 0.0 | forgiven 0.0 | forehead 0.0 | footbal 0.0 | forgiv 0.0 | foreign 0.0 | foreman 0.0 | forest 0.0 | forev 0.0 | foreveralon 0.0 | foreverlsu 0.0 | forgotten 0.0 | foodtruckrelief 0.0 | footag 0.0 | followforfollow 0.0 | focu 0.0 | focus 0.0 | foe 0.0 | fog 0.0 | foh 0.0 | foil 0.0 | fold 0.0 | folk 0.0 | follow 0.0 | follow2befollow 0.0 | followback 0.0 | followbackdesvelado 0.0 | followbacknocturno 0.0 | followbackseguro 0.0 | followfriday 0.0 | foot 0.0 | followm 0.0 | followmefredo 0.0 | fond 0.0 | fone 0.0 | font 0.0 | foo 0.0 | food 0.0 | foodgasm 0.0 | foodi 0.0 | foodporn 0.0 | format 0.0 | fool 0.0 | foolin 0.0 | foolish 0.0 | formal 0.0 | يوم 0.0 | formula 0.0 | freeli 0.0 | french 0.0
