topic37 | 0.0221908318677,love 0.45 | realli 0.16 | guy 0.11 | bless 0.04 | white 0.03 | buy 0.02 | town 0.02 | speak 0.02 | basic 0.01 | christian 0.01 | appar 0.01 | dollar 0.01 | wall 0.01 | dnt 0.01 | rich 0.01 | thirsti 0.01 | bite 0.01 | pair 0.0 | plane 0.0 | spanish 0.0 | awhil 0.0 | nephew 0.0 | teen 0.0 | dip 0.0 | classi 0.0 | chines 0.0 | sarcasm 0.0 | languag 0.0 | exact 0.0 | pee 0.0 | rachel 0.0 | thankyou 0.0 | wifi 0.0 | youuu 0.0 | papa 0.0 | youu 0.0 | tee 0.0 | familiar 0.0 | chipotl 0.0 | logic 0.0 | protest 0.0 | coulda 0.0 | bloodi 0.0 | michel 0.0 | vocal 0.0 | corinthian 0.0 | shirtless 0.0 | irk 0.0 | crumbl 0.0 | newspap 0.0 | pryor 0.0 | fort 0.0 | foreveralon 0.0 | forget 0.0 | forreal 0.0 | forth 0.0 | formula 0.0 | forg 0.0 | form 0.0 | forev 0.0 | fork 0.0 | format 0.0 | forgiv 0.0 | formal 0.0 | forsur 0.0 | forrest 0.0 | forgot 0.0 | forgotten 0.0 | forrealtho 0.0 | forgiven 0.0 | يوم 0.0 | forest 0.0 | followm 0.0 | foodi 0.0 | food 0.0 | foo 0.0 | font 0.0 | fone 0.0 | follownow 0.0 | followback 0.0 | foreman 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | folk 0.0 | folder 0.0 | fold 0.0 | foodporn 0.0 | fool 0.0 | foolin 0.0 | foolish 0.0 | foot 0.0 | footag 0.0 | footbal 0.0 | footloos 0.0 | footstep 0.0 | forb 0.0 | fortun 0.0 | forc 0.0 | ford 0.0
topic93 | 0.0215828787223,day 0.38 | life 0.17 | school 0.1 | thunder 0.07 | alreadi 0.06 | left 0.04 | open 0.03 | bore 0.03 | pray 0.02 | spend 0.02 | sign 0.02 | hurri 0.01 | father 0.01 | univers 0.01 | advic 0.01 | crave 0.0 | salad 0.0 | liquor 0.0 | nyc 0.0 | longest 0.0 | subway 0.0 | overtim 0.0 | jazz 0.0 | metro 0.0 | soap 0.0 | carthag 0.0 | letsdothi 0.0 | rtrt 0.0 | nolif 0.0 | fort 0.0 | forgotten 0.0 | fought 0.0 | foto 0.0 | fostercar 0.0 | forgiv 0.0 | foster 0.0 | forgiven 0.0 | fosho 0.0 | forgot 0.0 | form 0.0 | fork 0.0 | formal 0.0 | format 0.0 | formula 0.0 | forward 0.0 | forum 0.0 | forreal 0.0 | fortun 0.0 | forrealtho 0.0 | fortsil 0.0 | forget 0.0 | forth 0.0 | forsur 0.0 | forrest 0.0 | يوم 0.0 | forg 0.0 | foodi 0.0 | foo 0.0 | font 0.0 | fone 0.0 | follownow 0.0 | followm 0.0 | followback 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | folk 0.0 | folder 0.0 | fold 0.0 | foggi 0.0 | fog 0.0 | foe 0.0 | focus 0.0 | focu 0.0 | food 0.0 | foodporn 0.0 | foreveralon 0.0 | fool 0.0 | forev 0.0 | forest 0.0 | foul 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | ford 0.0 | forc 0.0 | forb 0.0 | footstep 0.0 | footloos 0.0 | footbal 0.0 | footag 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | foreman 0.0 | fraction 0.0 | foundat 0.0 | fridaynight 0.0 | frighten 0.0
topic55 | 0.0195340331083,peopl 0.24 | happi 0.16 | hate 0.13 | someon 0.12 | birthday 0.07 | tho 0.04 | proud 0.03 | ima 0.02 | rais 0.02 | sex 0.02 | goin 0.02 | scare 0.02 | smell 0.01 | sexi 0.01 | 2nd 0.01 | consid 0.01 | south 0.01 | fam 0.01 | juli 0.01 | molli 0.0 | blake 0.0 | freedom 0.0 | cali 0.0 | hint 0.0 | flaw 0.0 | andi 0.0 | bio 0.0 | cart 0.0 | gah 0.0 | eleph 0.0 | oscar 0.0 | garrett 0.0 | korea 0.0 | gabbi 0.0 | exe 0.0 | tacki 0.0 | forgiv 0.0 | forgiven 0.0 | forgot 0.0 | forum 0.0 | forward 0.0 | fosho 0.0 | forgotten 0.0 | forrealtho 0.0 | fortsil 0.0 | fork 0.0 | fortun 0.0 | form 0.0 | formal 0.0 | forth 0.0 | format 0.0 | formula 0.0 | fort 0.0 | forsur 0.0 | forrest 0.0 | forget 0.0 | forreal 0.0 | يوم 0.0 | forg 0.0 | followm 0.0 | foodporn 0.0 | foodi 0.0 | food 0.0 | foo 0.0 | font 0.0 | fone 0.0 | follownow 0.0 | followback 0.0 | foreveralon 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | folk 0.0 | folder 0.0 | fold 0.0 | foggi 0.0 | fool 0.0 | foolin 0.0 | foolish 0.0 | foot 0.0 | forev 0.0 | fostercar 0.0 | forest 0.0 | foreman 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | ford 0.0 | forc 0.0 | forb 0.0 | footstep 0.0 | footloos 0.0 | footbal 0.0 | footag 0.0 | foster 0.0 | fox 0.0 | foto 0.0 | frickin 0.0 | friendzon 0.0
topic75 | 0.0193007428844,like 0.54 | think 0.22 | dont 0.05 | hear 0.04 | busi 0.03 | parent 0.02 | worst 0.02 | decis 0.01 | awak 0.01 | knee 0.01 | wide 0.01 | crash 0.01 | health 0.01 | dem 0.0 | thi 0.0 | dey 0.0 | clinic 0.0 | accent 0.0 | laughter 0.0 | youuuu 0.0 | yukon 0.0 | suspend 0.0 | meee 0.0 | grandpar 0.0 | braid 0.0 | atmospher 0.0 | spi 0.0 | goood 0.0 | beaver 0.0 | temporarili 0.0 | pissin 0.0 | lbj 0.0 | thabeet 0.0 | fostercar 0.0 | follow 0.0 | folk 0.0 | forrest 0.0 | forrealtho 0.0 | foundat 0.0 | forreal 0.0 | formula 0.0 | foul 0.0 | format 0.0 | follow2befol 0.0 | formal 0.0 | founder 0.0 | form 0.0 | forsur 0.0 | fort 0.0 | foster 0.0 | folder 0.0 | fold 0.0 | foggi 0.0 | forgotten 0.0 | fought 0.0 | forth 0.0 | foto 0.0 | fortsil 0.0 | fog 0.0 | fortun 0.0 | forum 0.0 | forward 0.0 | fosho 0.0 | fork 0.0 | foodporn 0.0 | follow2befollow 0.0 | footloos 0.0 | forc 0.0 | forb 0.0 | fone 0.0 | font 0.0 | foo 0.0 | footstep 0.0 | footbal 0.0 | forgot 0.0 | footag 0.0 | food 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | fool 0.0 | ford 0.0 | foreal 0.0 | follownow 0.0 | forecast 0.0 | forehead 0.0 | fountain 0.0 | foreign 0.0 | followm 0.0 | foreman 0.0 | forest 0.0 | forev 0.0 | foreveralon 0.0 | followback 0.0 | forg 0.0 | forget 0.0 | foodi 0.0 | forgiven 0.0 | forgiv 0.0 | يوم 0.0
topic8 | 0.0176800082599,need 0.31 | summer 0.09 | awesom 0.07 | sometim 0.06 | okay 0.06 | friday 0.05 | soon 0.04 | hot 0.04 | center 0.03 | super 0.02 | yay 0.02 | begin 0.02 | woke 0.02 | breath 0.02 | natur 0.01 | dark 0.01 | wat 0.01 | human 0.01 | campu 0.01 | whenev 0.01 | shall 0.01 | asap 0.01 | confer 0.01 | massag 0.01 | program 0.01 | seek 0.01 | pie 0.0 | shoulder 0.0 | yoga 0.0 | medic 0.0 | poppin 0.0 | appoint 0.0 | reunit 0.0 | pedicur 0.0 | baker 0.0 | autocorrect 0.0 | vick 0.0 | forget 0.0 | forgiv 0.0 | forum 0.0 | forg 0.0 | fortun 0.0 | fosho 0.0 | foreveralon 0.0 | forgiven 0.0 | forsur 0.0 | forgot 0.0 | fortsil 0.0 | forward 0.0 | forgotten 0.0 | fork 0.0 | form 0.0 | forth 0.0 | formal 0.0 | format 0.0 | formula 0.0 | forreal 0.0 | forrealtho 0.0 | forrest 0.0 | fort 0.0 | forev 0.0 | forc 0.0 | forest 0.0 | foreman 0.0 | foo 0.0 | font 0.0 | fone 0.0 | follownow 0.0 | followm 0.0 | followback 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | folk 0.0 | folder 0.0 | fold 0.0 | foggi 0.0 | fog 0.0 | foe 0.0 | food 0.0 | foodi 0.0 | foodporn 0.0 | forb 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | ford 0.0 | fostercar 0.0 | footstep 0.0 | fool 0.0 | footloos 0.0 | footbal 0.0 | footag 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | foster 0.0 | fox 0.0 | foto 0.0
topic20 | 0.0158238858558,lol 0.67 | kid 0.1 | everyday 0.03 | fat 0.03 | imagin 0.01 | tough 0.01 | sell 0.01 | sweat 0.01 | austin 0.01 | ohhh 0.01 | thug 0.01 | describ 0.01 | doesnt 0.01 | thang 0.01 | stole 0.01 | dam 0.01 | perfectli 0.0 | plate 0.0 | ikr 0.0 | neighborhood 0.0 | ranch 0.0 | ink 0.0 | hoodi 0.0 | comeback 0.0 | yessss 0.0 | uhm 0.0 | burrito 0.0 | torn 0.0 | divorc 0.0 | ughhh 0.0 | specif 0.0 | itali 0.0 | miguel 0.0 | craig 0.0 | bri 0.0 | defiantli 0.0 | 28th 0.0 | ingredi 0.0 | nahhh 0.0 | whaaat 0.0 | loca 0.0 | la 0.0 | homeschool 0.0 | forev 0.0 | fortsil 0.0 | forget 0.0 | foreveralon 0.0 | forg 0.0 | forrest 0.0 | forgiv 0.0 | forth 0.0 | forgiven 0.0 | forgotten 0.0 | fork 0.0 | form 0.0 | formal 0.0 | fort 0.0 | format 0.0 | formula 0.0 | forreal 0.0 | forsur 0.0 | forrealtho 0.0 | forgot 0.0 | يوم 0.0 | forest 0.0 | follow2befollow 0.0 | foo 0.0 | font 0.0 | fone 0.0 | follownow 0.0 | followm 0.0 | followback 0.0 | follow2befol 0.0 | foodi 0.0 | follow 0.0 | folk 0.0 | folder 0.0 | fold 0.0 | foggi 0.0 | fog 0.0 | food 0.0 | foodporn 0.0 | foreman 0.0 | forb 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | ford 0.0 | forc 0.0 | footstep 0.0 | fool 0.0 | footloos 0.0 | footbal 0.0 | footag 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | fortun 0.0 | foundat 0.0
topic2 | 0.0147807621796,thank 0.33 | god 0.18 | bring 0.07 | eye 0.06 | lord 0.04 | bet 0.03 | fine 0.03 | answer 0.03 | roll 0.03 | random 0.02 | congratul 0.02 | ruin 0.02 | joy 0.01 | jackson 0.01 | athlet 0.01 | foul 0.01 | commit 0.01 | stone 0.01 | credit 0.01 | cafe 0.01 | flash 0.01 | develop 0.01 | form 0.01 | camera 0.01 | chew 0.01 | trial 0.01 | higher 0.01 | compliment 0.0 | bieber 0.0 | convent 0.0 | asf 0.0 | awh 0.0 | ami 0.0 | alan 0.0 | gap 0.0 | ight 0.0 | bugatti 0.0 | grizz 0.0 | godisgood 0.0 | belov 0.0 | tanner 0.0 | frfr 0.0 | mater 0.0 | formula 0.0 | format 0.0 | formal 0.0 | يوم 0.0 | forreal 0.0 | forrealtho 0.0 | forrest 0.0 | forsur 0.0 | forth 0.0 | fortsil 0.0 | fortun 0.0 | forum 0.0 | forward 0.0 | fosho 0.0 | foster 0.0 | fostercar 0.0 | foto 0.0 | fort 0.0 | forest 0.0 | fork 0.0 | foo 0.0 | foot 0.0 | foolish 0.0 | foolin 0.0 | fool 0.0 | foodporn 0.0 | foodi 0.0 | food 0.0 | font 0.0 | forgotten 0.0 | fone 0.0 | follownow 0.0 | followm 0.0 | followback 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | footag 0.0 | footbal 0.0 | footloos 0.0 | footstep 0.0 | forgot 0.0 | forgiven 0.0 | forgiv 0.0 | forget 0.0 | forg 0.0 | foreveralon 0.0 | forev 0.0 | foreman 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | ford 0.0 | forc 0.0 | forb 0.0 | fought 0.0
topic19 | 0.0147786105018,work 0.3 | home 0.16 | fun 0.1 | hous 0.08 | listen 0.06 | lunch 0.04 | player 0.03 | gave 0.03 | joke 0.03 | record 0.02 | chicken 0.02 | harder 0.01 | memphi 0.01 | vacat 0.01 | stomach 0.01 | flow 0.01 | mini 0.01 | comput 0.01 | cash 0.01 | shitti 0.01 | rebound 0.01 | cuh 0.0 | steve 0.0 | wasnt 0.0 | johnni 0.0 | fourth 0.0 | fart 0.0 | jess 0.0 | nugget 0.0 | necessari 0.0 | 2day 0.0 | marshal 0.0 | asid 0.0 | lmbo 0.0 | comic 0.0 | threaten 0.0 | harm 0.0 | mister 0.0 | harass 0.0 | tupac 0.0 | growl 0.0 | alphabet 0.0 | followback 0.0 | fork 0.0 | followm 0.0 | form 0.0 | formal 0.0 | format 0.0 | follow2befol 0.0 | formula 0.0 | follownow 0.0 | follow2befollow 0.0 | forrealtho 0.0 | forreal 0.0 | forgotten 0.0 | forrest 0.0 | forsur 0.0 | fort 0.0 | follow 0.0 | folk 0.0 | forth 0.0 | fortsil 0.0 | fortun 0.0 | forum 0.0 | forward 0.0 | fosho 0.0 | folder 0.0 | fold 0.0 | fone 0.0 | footag 0.0 | forgot 0.0 | foolin 0.0 | foot 0.0 | footloos 0.0 | foolish 0.0 | footstep 0.0 | forb 0.0 | forc 0.0 | ford 0.0 | foreal 0.0 | forecast 0.0 | forehead 0.0 | foreign 0.0 | foster 0.0 | foreman 0.0 | footbal 0.0 | forest 0.0 | fool 0.0 | foodporn 0.0 | forev 0.0 | foreveralon 0.0 | foodi 0.0 | food 0.0 | foo 0.0 | forg 0.0 | font 0.0 | forget 0.0 | forgiv 0.0 | forgiven 0.0 | يوم 0.0
topic23 | 0.0142077463794,girl 0.29 | big 0.1 | face 0.08 | fight 0.07 | read 0.06 | wake 0.05 | dream 0.05 | yea 0.04 | boyfriend 0.03 | kiss 0.03 | amen 0.02 | mix 0.01 | ridicul 0.01 | shake 0.01 | brain 0.01 | boom 0.01 | ador 0.01 | preach 0.01 | russ 0.01 | convinc 0.01 | forreal 0.01 | nightmar 0.01 | becam 0.0 | net 0.0 | sweeti 0.0 | smack 0.0 | beyonc 0.0 | nowher 0.0 | spit 0.0 | hung 0.0 | stud 0.0 | melo 0.0 | peak 0.0 | leggo 0.0 | gossip 0.0 | inner 0.0 | pimp 0.0 | lesbian 0.0 | vagina 0.0 | panti 0.0 | pow 0.0 | zebra 0.0 | burden 0.0 | masterpiec 0.0 | revel 0.0 | vein 0.0 | blender 0.0 | forward 0.0 | forum 0.0 | fork 0.0 | fosho 0.0 | forgotten 0.0 | form 0.0 | fortsil 0.0 | fortun 0.0 | formal 0.0 | format 0.0 | forsur 0.0 | formula 0.0 | forth 0.0 | forrealtho 0.0 | forrest 0.0 | forgot 0.0 | fort 0.0 | يوم 0.0 | forev 0.0 | forgiven 0.0 | foot 0.0 | foolin 0.0 | fool 0.0 | foodporn 0.0 | foodi 0.0 | food 0.0 | foo 0.0 | font 0.0 | fone 0.0 | follownow 0.0 | followm 0.0 | followback 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | folk 0.0 | foolish 0.0 | footag 0.0 | forgiv 0.0 | footbal 0.0 | forget 0.0 | forg 0.0 | foreveralon 0.0 | fostercar 0.0 | forest 0.0 | foreman 0.0 | foreign 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | ford 0.0 | forc 0.0 | forb 0.0
topic21 | 0.0139626677753,good 0.53 | meet 0.06 | wow 0.05 | weird 0.04 | luck 0.04 | son 0.03 | memori 0.03 | coffe 0.03 | longer 0.02 | dick 0.02 | usual 0.02 | america 0.02 | hide 0.01 | talent 0.01 | admit 0.01 | sore 0.01 | quarter 0.01 | champion 0.01 | trap 0.01 | jacket 0.01 | vodka 0.0 | seed 0.0 | brag 0.0 | sip 0.0 | actor 0.0 | tummi 0.0 | gpa 0.0 | anderson 0.0 | hahaa 0.0 | esa 0.0 | shaq 0.0 | eachoth 0.0 | pam 0.0 | wizard 0.0 | tnt 0.0 | gangster 0.0 | getit 0.0 | philosophi 0.0 | conform 0.0 | conley 0.0 | folk 0.0 | forest 0.0 | forg 0.0 | foreveralon 0.0 | frontier 0.0 | focus 0.0 | forev 0.0 | foreign 0.0 | foreman 0.0 | forgiv 0.0 | forehead 0.0 | forecast 0.0 | foreal 0.0 | frost 0.0 | forget 0.0 | forgot 0.0 | forgiven 0.0 | follow 0.0 | forgotten 0.0 | fork 0.0 | form 0.0 | formal 0.0 | format 0.0 | formula 0.0 | forreal 0.0 | forrealtho 0.0 | forrest 0.0 | forsur 0.0 | fort 0.0 | focu 0.0 | ford 0.0 | foe 0.0 | frown 0.0 | forc 0.0 | follow2befol 0.0 | folder 0.0 | fold 0.0 | follow2befollow 0.0 | fsintent 0.0 | followback 0.0 | followm 0.0 | frustrat 0.0 | fruit 0.0 | follownow 0.0 | fone 0.0 | font 0.0 | foo 0.0 | food 0.0 | foodi 0.0 | foggi 0.0 | fog 0.0 | foodporn 0.0 | fool 0.0 | foolin 0.0 | foolish 0.0 | foot 0.0 | footag 0.0 | frozen 0.0 | footbal 0.0 | footloos 0.0
topic69 | 0.0138505243204,make 0.41 | haha 0.21 | wear 0.06 | smh 0.06 | fact 0.04 | woman 0.03 | color 0.02 | tuesday 0.02 | sens 0.02 | ring 0.02 | russel 0.01 | physic 0.01 | jordan 0.01 | tank 0.01 | makeup 0.01 | rate 0.01 | machin 0.01 | load 0.01 | faster 0.01 | jake 0.01 | mud 0.01 | ibaka 0.01 | damag 0.0 | vida 0.0 | sittin 0.0 | stink 0.0 | unnecessari 0.0 | puke 0.0 | stroke 0.0 | migrain 0.0 | watson 0.0 | shook 0.0 | wale 0.0 | touché 0.0 | funnier 0.0 | nunca 0.0 | conceit 0.0 | strugglin 0.0 | forsur 0.0 | forest 0.0 | forecast 0.0 | forehead 0.0 | foreign 0.0 | forrest 0.0 | foreman 0.0 | forrealtho 0.0 | forgot 0.0 | forev 0.0 | foreveralon 0.0 | forgotten 0.0 | forg 0.0 | forget 0.0 | forgiv 0.0 | formula 0.0 | format 0.0 | formal 0.0 | form 0.0 | forgiven 0.0 | foreal 0.0 | fork 0.0 | forreal 0.0 | يوم 0.0 | ford 0.0 | fold 0.0 | followback 0.0 | follow2befollow 0.0 | follow2befol 0.0 | follow 0.0 | folk 0.0 | folder 0.0 | foggi 0.0 | follownow 0.0 | fog 0.0 | foe 0.0 | focus 0.0 | focu 0.0 | fob 0.0 | foam 0.0 | followm 0.0 | fone 0.0 | forc 0.0 | foot 0.0 | forb 0.0 | footstep 0.0 | footloos 0.0 | footbal 0.0 | footag 0.0 | forth 0.0 | foolish 0.0 | font 0.0 | foolin 0.0 | fool 0.0 | foodporn 0.0 | foodi 0.0 | food 0.0 | foo 0.0 | fort 0.0 | foul 0.0 | fortsil 0.0 | frickin 0.0
