topic97 | 0.0240533547567,day 41825.27 | life 20253.8 | school 8000.04 | head 7509.62 | alreadi 6802.22 | hey 6378.98 | end 5709.55 | gone 4523.49 | left 3846.43 | spend 2666.76 | sign 2401.73 | thunder 2033.53 | fit 1470.83 | hurri 1184.22 | univers 1077.61 | cop 860.67 | crave 616.83 | nyc 552.28 | charact 532.17 | zone 525.69 | salad 441.14 | longest 424.25 | subway 401.01 | owasso 257.96 | overtim 229.08 | usher 213.04 | clap 212.18 | hotter 185.75 | nate 120.59 | str 118.7 | rtrt 68.97 | letsdothi 42.2 | foreal 0.01 | footprint 0.01 | forgot 0.01 | forb 0.01 | forc 0.01 | footbal 0.01 | fork 0.01 | ford 0.01 | forgotten 0.01 | forearm 0.01 | forgiven 0.01 | forgiv 0.01 | forev 0.01 | forecast 0.01 | forget 0.01 | forg 0.01 | foreverlsu 0.01 | forehead 0.01 | foreign 0.01 | foreveralon 0.01 | foreman 0.01 | forest 0.01 | footag 0.01 | foodporn 0.01 | foot 0.01 | fog 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | fmrevolut 0.01 | fml 0.01 | flyin 0.01 | flyer 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | flu 0.01 | floyd 0.01 | flown 0.01 | flower 0.01 | flow 0.01 | floss 0.01 | foe 0.01 | foh 0.01 | foolish 0.01 | foil 0.01 | foolin 0.01 | fool 0.01 | foodtruckrelief 0.01 | formal 0.01 | foodi 0.01 | food 0.01 | foo 0.01 | font 0.01 | fone 0.01 | fond 0.01 | followm 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | follow 0.01 | folk 0.01 | fold 0.01 | form 0.01 | يوم 0.01 | format 0.01 | frequenc 0.01
topic63 | 0.017634973371,lol 48603.02 | kid 8020.71 | sure 7980.23 | whatev 2582.71 | nation 2182.13 | deal 2091.93 | dat 1455.7 | imagin 1192.51 | respons 951.41 | sell 830.89 | screw 792.35 | gon 649.05 | hmm 641.09 | neighborhood 508.82 | describ 483.91 | dam 434.2 | stole 381.78 | mobil 367.23 | perfectli 332.76 | ranch 293.39 | wut 281.68 | yessss 262.27 | emili 261.54 | countdown 229.82 | ink 224.29 | ikr 217.4 | craft 217.38 | itali 212.1 | hunger 201.56 | comeback 187.15 | divorc 169.18 | ughhh 143.21 | eve 139.26 | defiantli 89.28 | ingredi 86.49 | 28th 77.29 | arrang 70.97 | butthurt 52.08 | contradict 49.46 | whaaat 43.21 | loca 36.65 | frfr 0.01 | freshmen 0.01 | fond 0.01 | fone 0.01 | foodtruckrelief 0.01 | freshman 0.01 | font 0.01 | freshli 0.01 | foo 0.01 | food 0.01 | followm 0.01 | foodi 0.01 | fresh 0.01 | foodporn 0.01 | frequent 0.01 | fool 0.01 | forb 0.01 | forehead 0.01 | forecast 0.01 | forearm 0.01 | foreal 0.01 | ford 0.01 | forc 0.01 | frequenc 0.01 | followbackdesvelado 0.01 | footprint 0.01 | footbal 0.01 | footag 0.01 | foot 0.01 | foolish 0.01 | foolin 0.01 | fri 0.01 | fraud 0.01 | followback 0.01 | fmrevolut 0.01 | friendli 0.01 | friend 0.01 | flow 0.01 | flower 0.01 | flown 0.01 | floyd 0.01 | flu 0.01 | fluffi 0.01 | fluid 0.01 | flush 0.01 | flyer 0.01 | fridg 0.01 | flyin 0.01 | fml 0.01 | fncsummer 0.01 | foreman 0.01 | foam 0.01 | focu 0.01 | focus 0.01 | foe 0.01 | fridaynight 0.01 | fog 0.01 | friday 0.01 | foh 0.01
topic8 | 0.017300018729,thing 18692.13 | week 9933.21 | thought 7283.61 | drink 5518.91 | okc 5109.57 | actual 4850.76 | hand 3858.95 | fan 3775.31 | sad 3719.01 | beer 2945.14 | stori 2857.61 | book 2252.7 | nap 2209.11 | share 2144.34 | bit 1994.9 | touch 1390.31 | tha 1343.77 | aliv 1185.21 | drama 939.38 | afraid 924.82 | bibl 920.01 | tough 903.34 | nasti 889.59 | direct 857.06 | ctfu 838.71 | bear 815.29 | gold 649.46 | angri 602.32 | toe 471.41 | homework 466.26 | nightmar 374.4 | lack 359.96 | sweetest 332.59 | ultim 304.85 | noooo 289.95 | margarita 280.38 | bedroom 218.04 | facetim 203.31 | sundayfunday 191.83 | ace 169.49 | tommi 165.33 | watermelon 163.09 | tick 154.89 | wheat 139.38 | drill 131.4 | stupidest 86.37 | revel 66.25 | brantleygilbert 62.76 | homeschool 37.06 | form 0.01 | forev 0.01 | fork 0.01 | forgotten 0.01 | foreign 0.01 | foreman 0.01 | forgot 0.01 | format 0.01 | forest 0.01 | foreveralon 0.01 | forrest 0.01 | forgiven 0.01 | formula 0.01 | forgiv 0.01 | forreal 0.01 | foreverlsu 0.01 | forget 0.01 | forg 0.01 | formal 0.01 | يوم 0.01 | forehead 0.01 | foo 0.01 | foe 0.01 | fog 0.01 | foh 0.01 | foil 0.01 | fold 0.01 | folk 0.01 | follow 0.01 | follow2befollow 0.01 | followback 0.01 | followbackdesvelado 0.01 | followm 0.01 | fond 0.01 | fone 0.01 | font 0.01 | food 0.01 | forecast 0.01 | foodi 0.01 | foodporn 0.01 | foodtruckrelief 0.01 | fool 0.01 | foolin 0.01 | foolish 0.01 | foot 0.01 | footbal 0.01 | footprint 0.01 | forb 0.01 | forc 0.01 | ford 0.01 | foreal 0.01
topic3 | 0.0170458587152,like 62718.57 | great 13837.94 | minut 3918.87 | brother 3346.96 | flood 2339.27 | count 1672.89 | awak 1561.4 | children 1471.63 | chri 1153.39 | wide 858.78 | kevin 858.47 | brown 819.57 | crash 638.21 | warm 618.69 | slut 531.57 | spanish 368.56 | remix 354.72 | sweeti 258.0 | stretch 238.18 | split 221.88 | spi 209.24 | frog 184.71 | error 164.19 | lyfe 133.13 | lbj 115.38 | watson 70.75 | tyga 62.47 | wanelo 44.48 | foot 0.01 | footbal 0.01 | footag 0.01 | frighten 0.01 | foodi 0.01 | foodtruckrelief 0.01 | foodporn 0.01 | foolish 0.01 | foolin 0.01 | fool 0.01 | footprint 0.01 | friendli 0.01 | foreal 0.01 | forb 0.01 | forc 0.01 | ford 0.01 | forearm 0.01 | forecast 0.01 | forehead 0.01 | foreign 0.01 | foreman 0.01 | forest 0.01 | forev 0.01 | foreveralon 0.01 | foreverlsu 0.01 | forg 0.01 | forget 0.01 | forgiv 0.01 | food 0.01 | followm 0.01 | foo 0.01 | flu 0.01 | fml 0.01 | flyin 0.01 | flyer 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | floyd 0.01 | fncsummer 0.01 | flown 0.01 | flower 0.01 | flow 0.01 | floss 0.01 | floridageorgialin 0.01 | florida 0.01 | fmrevolut 0.01 | foam 0.01 | font 0.01 | follow 0.01 | fone 0.01 | fond 0.01 | forgot 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | folk 0.01 | focu 0.01 | fold 0.01 | foil 0.01 | foh 0.01 | fog 0.01 | foe 0.01 | focus 0.01 | forgiven 0.01 | formal 0.01 | forgotten 0.01 | freestyl 0.01 | freedom 0.01 | free 0.01 | fredo 0.01 | freddi 0.01
topic72 | 0.0169950161161,peopl 27491.79 | hate 13274.18 | live 11288.57 | bad 10602.22 | everyth 7425.97 | word 5694.38 | tho 5379.59 | scare 2124.57 | goin 1692.35 | sexi 1552.39 | rais 1531.81 | south 1428.95 | longer 1259.03 | fam 1090.93 | nope 1058.64 | consid 1001.41 | rich 724.73 | cali 547.06 | kept 517.1 | hint 299.15 | hawk 281.73 | canyon 225.17 | flaw 196.24 | gah 140.65 | soap 112.27 | ethan 70.62 | korea 65.36 | boooo 51.62 | foreal 0.01 | forearm 0.01 | ford 0.01 | forc 0.01 | forecast 0.01 | forb 0.01 | footprint 0.01 | يوم 0.01 | foreman 0.01 | forehead 0.01 | foreign 0.01 | footag 0.01 | forest 0.01 | forev 0.01 | foreveralon 0.01 | foreverlsu 0.01 | forg 0.01 | forget 0.01 | forgiv 0.01 | forgiven 0.01 | forgot 0.01 | forgotten 0.01 | fork 0.01 | footbal 0.01 | foodi 0.01 | foot 0.01 | foil 0.01 | fog 0.01 | foe 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | fmrevolut 0.01 | fml 0.01 | flyin 0.01 | flyer 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | flu 0.01 | floyd 0.01 | foh 0.01 | fold 0.01 | foolish 0.01 | folk 0.01 | foolin 0.01 | fool 0.01 | foodtruckrelief 0.01 | foodporn 0.01 | formal 0.01 | food 0.01 | foo 0.01 | font 0.01 | fone 0.01 | fond 0.01 | followm 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | follow 0.01 | form 0.01 | fort 0.01 | format 0.01 | freestyl 0.01 | fresh 0.01 | frequent 0.01 | frequenc 0.01 | french 0.01 | freind 0.01 | freezer 0.01 | freez 0.01
topic67 | 0.0165444226038,love 52713.57 | wake 4201.3 | dream 3754.74 | relationship 3082.58 | kiss 2271.95 | speak 1898.65 | treat 1834.33 | appar 1001.24 | dnt 863.43 | christian 854.49 | attack 842.13 | bite 753.33 | athlet 645.36 | teeth 591.85 | hardest 589.61 | sayin 529.3 | chines 460.98 | languag 300.45 | beyonc 270.15 | anxieti 269.74 | youuu 241.92 | gucci 225.96 | thankyou 209.67 | pow 193.52 | protest 180.78 | michel 161.44 | bloodi 125.62 | forehead 0.01 | fluid 0.01 | forecast 0.01 | foreman 0.01 | forearm 0.01 | foreal 0.01 | ford 0.01 | forc 0.01 | forb 0.01 | foreign 0.01 | foreveralon 0.01 | forest 0.01 | forgot 0.01 | formula 0.01 | format 0.01 | formal 0.01 | form 0.01 | fork 0.01 | forgotten 0.01 | forgiven 0.01 | flown 0.01 | forgiv 0.01 | forget 0.01 | flower 0.01 | forg 0.01 | foreverlsu 0.01 | forev 0.01 | footprint 0.01 | foot 0.01 | footbal 0.01 | folk 0.01 | foil 0.01 | foh 0.01 | fog 0.01 | foe 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | floyd 0.01 | fmrevolut 0.01 | fml 0.01 | flyin 0.01 | flu 0.01 | flyer 0.01 | fluffi 0.01 | fold 0.01 | follow 0.01 | footag 0.01 | follow2befollow 0.01 | flush 0.01 | foolish 0.01 | foolin 0.01 | fool 0.01 | foodtruckrelief 0.01 | forreal 0.01 | foodi 0.01 | food 0.01 | foo 0.01 | font 0.01 | fone 0.01 | fond 0.01 | followm 0.01 | followbackdesvelado 0.01 | followback 0.01 | foodporn 0.01 | يوم 0.01 | forrest 0.01 | freezer 0.01 | freshman 0.01 | freshli 0.01 | fresh 0.01 | frequent 0.01
topic46 | 0.0164796736126,want 32230.04 | think 24463.09 | dont 5854.02 | believ 5232.26 | close 3703.1 | busi 2869.41 | worst 2323.43 | met 1630.06 | arkansa 1519.9 | write 1216.47 | hotel 1018.76 | choos 979.62 | medic 580.16 | donut 504.79 | health 433.03 | btw 409.56 | threat 354.28 | yukon 270.12 | badli 211.96 | youuuu 208.23 | clinic 196.34 | lighter 172.02 | chan 166.12 | tatum 159.05 | meee 145.83 | migrain 104.13 | moe 82.4 | goood 70.67 | temporarili 50.18 | ust 47.61 | forgotten 0.01 | fork 0.01 | forc 0.01 | forb 0.01 | form 0.01 | footprint 0.01 | footbal 0.01 | footag 0.01 | formal 0.01 | foot 0.01 | forgot 0.01 | ford 0.01 | foreverlsu 0.01 | forg 0.01 | foreal 0.01 | forev 0.01 | forearm 0.01 | forgiven 0.01 | forgiv 0.01 | forecast 0.01 | forget 0.01 | forehead 0.01 | foreign 0.01 | foreman 0.01 | forest 0.01 | foreveralon 0.01 | يوم 0.01 | foolish 0.01 | flyin 0.01 | foe 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | fmrevolut 0.01 | fml 0.01 | flyer 0.01 | foolin 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | flu 0.01 | floyd 0.01 | flown 0.01 | flower 0.01 | fog 0.01 | foh 0.01 | foil 0.01 | fold 0.01 | fool 0.01 | foodtruckrelief 0.01 | format 0.01 | foodi 0.01 | food 0.01 | foo 0.01 | font 0.01 | fone 0.01 | fond 0.01 | followm 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | follow 0.01 | folk 0.01 | foodporn 0.01 | fortress 0.01 | formula 0.01 | freez 0.01 | freshli 0.01 | fresh 0.01
topic25 | 0.0158106739648,good 34663.18 | start 12073.12 | damn 7511.12 | wow 3806.68 | memori 2822.03 | son 2253.52 | luck 1972.13 | fix 1495.34 | america 1255.26 | hahahaha 1136.13 | doin 1032.4 | boss 849.05 | sore 725.16 | bang 659.03 | shame 572.5 | frustrat 516.83 | zombi 454.56 | bob 440.16 | quarter 382.37 | sexual 327.14 | drown 326.3 | vodka 321.96 | mow 300.69 | stalk 244.53 | brag 234.04 | sip 224.72 | shawti 217.93 | jacket 208.38 | jess 204.46 | actor 166.59 | esa 133.42 | picnic 114.87 | nest 72.82 | tommorow 67.51 | hahaa 60.2 | getit 36.84 | portfolio 30.0 | forg 0.01 | foolin 0.01 | foreverlsu 0.01 | foot 0.01 | foolish 0.01 | forb 0.01 | footag 0.01 | foreveralon 0.01 | footbal 0.01 | footprint 0.01 | forc 0.01 | ford 0.01 | forev 0.01 | forearm 0.01 | forest 0.01 | forecast 0.01 | forehead 0.01 | foreign 0.01 | foreman 0.01 | foreal 0.01 | foo 0.01 | fool 0.01 | foodtruckrelief 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | fmrevolut 0.01 | fml 0.01 | flyin 0.01 | flyer 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | flu 0.01 | floyd 0.01 | flown 0.01 | flower 0.01 | foe 0.01 | fog 0.01 | foh 0.01 | fond 0.01 | foodporn 0.01 | foodi 0.01 | food 0.01 | forgiv 0.01 | font 0.01 | fone 0.01 | followm 0.01 | foil 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | follow 0.01 | folk 0.01 | fold 0.01 | forget 0.01 | يوم 0.01 | forgiven 0.01 | forgot 0.01 | freez 0.01 | freestyl 0.01 | freeman 0.01
topic69 | 0.015572448318,haha 14069.9 | year 10500.23 | someth 10082.48 | old 7294.57 | hurt 4724.44 | mayb 4462.5 | wear 3933.2 | smh 3395.1 | quit 2443.47 | ago 2301.56 | young 1885.37 | ring 1096.42 | feed 869.47 | tour 843.93 | nothin 791.82 | base 781.79 | bug 727.63 | jordan 686.26 | load 660.51 | foot 606.73 | tank 590.89 | bff 509.71 | jake 480.94 | makeup 449.94 | prefer 444.79 | wade 391.75 | reveal 279.3 | dread 262.27 | transform 247.99 | weirdo 239.61 | bounc 233.56 | knowledg 230.86 | ankl 218.95 | stink 218.87 | berri 204.27 | similar 195.88 | japan 159.88 | wale 124.94 | whine 119.78 | stroke 105.73 | locker 93.41 | ibaka 62.25 | scoobi 51.61 | followback 0.01 | follow2befollow 0.01 | flush 0.01 | footag 0.01 | footbal 0.01 | footprint 0.01 | fluid 0.01 | forb 0.01 | forc 0.01 | ford 0.01 | foreal 0.01 | forearm 0.01 | forecast 0.01 | forehead 0.01 | fluffi 0.01 | foreign 0.01 | flu 0.01 | floyd 0.01 | foreman 0.01 | forest 0.01 | flown 0.01 | flower 0.01 | forev 0.01 | flow 0.01 | foreveralon 0.01 | foreverlsu 0.01 | floss 0.01 | flyer 0.01 | flyin 0.01 | fml 0.01 | foh 0.01 | follow 0.01 | followbackdesvelado 0.01 | folk 0.01 | fold 0.01 | forg 0.01 | fond 0.01 | fone 0.01 | font 0.01 | foo 0.01 | foil 0.01 | food 0.01 | foodi 0.01 | foolish 0.01 | foodporn 0.01 | fog 0.01 | foe 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | foodtruckrelief 0.01 | fool 0.01 | foolin 0.01 | fmrevolut 0.01 | followm 0.01 | formula 0.01
topic32 | 0.0151377039738,thank 23380.19 | god 13412.7 | nigga 9576.61 | late 4056.12 | bet 2348.47 | fine 2281.63 | answer 2078.46 | ignor 1520.44 | train 1423.16 | random 1312.42 | intern 933.11 | attitud 819.17 | congratul 795.76 | presid 741.52 | honey 708.85 | session 689.77 | sum 666.93 | credit 564.06 | hoop 512.75 | jackson 423.71 | fashion 379.3 | higher 373.61 | asf 306.56 | typic 285.71 | kyle 285.46 | pressur 285.16 | trial 264.09 | awh 252.25 | lesbian 250.77 | skype 235.25 | nun 219.79 | tanner 209.26 | ight 181.82 | shutup 156.85 | ami 151.51 | gap 122.8 | godisgood 98.18 | patron 92.79 | summit 69.22 | wearin 68.6 | booboo 44.31 | grizz 30.54 | foolish 0.01 | footprint 0.01 | foot 0.01 | footag 0.01 | footbal 0.01 | forb 0.01 | يوم 0.01 | forc 0.01 | ford 0.01 | foreal 0.01 | forearm 0.01 | forehead 0.01 | foreign 0.01 | foreman 0.01 | forest 0.01 | forev 0.01 | foreveralon 0.01 | foreverlsu 0.01 | forg 0.01 | forget 0.01 | forgiv 0.01 | forecast 0.01 | font 0.01 | foolin 0.01 | flyin 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | fmrevolut 0.01 | fml 0.01 | flyer 0.01 | fog 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | flu 0.01 | floyd 0.01 | flown 0.01 | foe 0.01 | foh 0.01 | fool 0.01 | fond 0.01 | foodtruckrelief 0.01 | foodporn 0.01 | foodi 0.01 | food 0.01 | foo 0.01 | fone 0.01 | followm 0.01 | foil 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | follow 0.01 | folk 0.01 | fold 0.01 | forgiven 0.01
topic98 | 0.0134761735657,someon 13165.58 | follow 11733.29 | happen 7496.4 | win 6191.36 | sorri 5433.2 | sex 1931.99 | boo 1885.76 | unfollow 1857.23 | apart 1644.76 | smell 1552.08 | fell 1051.84 | kno 945.13 | reach 886.08 | gain 642.81 | duh 635.88 | york 616.25 | needa 589.76 | battl 578.42 | epic 533.18 | humbl 458.76 | competit 431.22 | molli 368.26 | monkey 358.98 | wore 303.71 | tenni 275.71 | hannah 246.07 | coast 203.47 | resist 180.95 | haunt 167.12 | bastard 165.55 | eleph 136.04 | 360 104.96 | 17th 94.56 | patti 92.2 | notcool 82.43 | sergio 75.01 | stabl 68.22 | textin 59.3 | forgot 0.01 | foreveralon 0.01 | foreal 0.01 | footprint 0.01 | forgiven 0.01 | ford 0.01 | forb 0.01 | forg 0.01 | forc 0.01 | forest 0.01 | forearm 0.01 | forev 0.01 | forecast 0.01 | foreverlsu 0.01 | forehead 0.01 | foreign 0.01 | foreman 0.01 | forget 0.01 | footbal 0.01 | forgiv 0.01 | يوم 0.01 | footag 0.01 | foil 0.01 | fog 0.01 | foe 0.01 | focus 0.01 | focu 0.01 | foam 0.01 | fncsummer 0.01 | fmrevolut 0.01 | fml 0.01 | flyin 0.01 | flyer 0.01 | flush 0.01 | fluid 0.01 | fluffi 0.01 | flu 0.01 | floyd 0.01 | foh 0.01 | fold 0.01 | foot 0.01 | folk 0.01 | foolish 0.01 | foolin 0.01 | fool 0.01 | foodtruckrelief 0.01 | foodporn 0.01 | foodi 0.01 | food 0.01 | foo 0.01 | font 0.01 | fone 0.01 | fond 0.01 | followm 0.01 | followbackdesvelado 0.01 | followback 0.01 | follow2befollow 0.01 | forgotten 0.01 | forsur 0.01 | fork 0.01 | fredo 0.01 | freind 0.01
