incident_id,incidentEndDate,incidentBeginDate,count,bucket,states,UTC
42,2011-07-14,2011-07-09,692,0.0,IA,UTC-6
236,2011-07-29,2011-07-26,163,0.0,OK,UTC-6
237,2011-08-13,2011-08-01,1819,0.0,OK,UTC-6
44,2011-08-15,2011-08-13,2976,0.0,NJ,UTC-5
238,2011-08-15,2011-08-15,656,0.0,TX,UTC-6
162,2011-08-24,2011-08-19,478,0.0,NM,UTC-7
328,2011-08-24,2011-08-21,964,0.0,PR,UTC-4
335,2011-09-05,2011-09-01,3386,0.0,LA,UTC-6
330,2011-09-14,2011-09-08,162,0.0,PR,UTC-4
51,2011-11-17,2011-11-15,210,0.0,AK,UTC-9
244,2011-11-21,2011-11-18,386,0.0,NV,UTC-8
206,2011-12-01,2011-11-30,547,0.0,UT,UTC-7
164,2012-01-21,2012-01-17,2830,0.0,OR,UTC-8
245,2012-01-21,2012-01-19,460,0.0,NV,UTC-8
53,2012-01-23,2012-01-22,2098,0.0,AL,UTC-6
54,2012-03-11,2012-03-03,1371,0.0,HI,UTC-10
56,2012-03-31,2012-03-15,746,0.0,WV,UTC-5
246,2012-04-02,2012-03-26,1160,0.0,CO,UTC-7
57,2012-04-15,2012-04-14,773,0.0,KS,UTC-6
58,2012-05-01,2012-04-28,836,0.0,OK,UTC-6
249,2012-05-22,2012-05-22,104,0.0,NV,UTC-8
248,2012-07-31,2012-05-23,198,0.0,NM,UTC-7
59,2012-05-31,2012-05-29,1014,0.0,NH|VT,UTC-5
165,2012-07-12,2012-06-22,1076,0.0,NM,UTC-7
62,2012-06-30,2012-06-30,3384,0.0,NJ,UTC-5
253,2012-08-14,2012-07-30,4012,0.0,OK,UTC-6
254,2012-09-05,2012-08-13,4512,0.0,WA|ID,UTC-8
257,2012-09-16,2012-08-28,4169,0.0,MT|NE|SD|WY,UTC-6
256,2012-10-09,2012-09-05,1923,0.0,WA,UTC-8
166,2012-09-11,2012-09-11,192,0.0,UT,UTC-7
65,2012-09-30,2012-09-15,665,0.0,AK,UTC-9
258,2012-10-05,2012-09-18,4211,0.0,ID|WA,UTC-8
260,2012-10-26,2012-10-23,192,0.0,CO,UTC-7
127,2012-12-26,2012-12-25,2223,0.0,AR,UTC-6
68,2013-02-22,2013-02-10,931,0.0,MS,UTC-6
69,2013-02-26,2013-02-24,3101,0.0,OK,UTC-6
70,2013-04-11,2013-04-08,2093,0.0,SD|MN|IA,UTC-6
207,2013-04-20,2013-04-17,544,0.0,TX,UTC-6
167,2013-05-16,2013-04-22,2433,0.0,ND,UTC-6
261,2013-07-31,2013-05-05,586,0.0,NM,UTC-7
172,2013-06-03,2013-05-19,975,0.0,MT|ND,UTC-7
171,2013-05-26,2013-05-22,897,0.0,VT,UTC-5
264,2013-06-21,2013-06-11,1323,0.0,CO,UTC-7
173,2013-06-13,2013-06-13,742,0.0,WV,UTC-5
74,2013-07-03,2013-06-26,4492,0.0,NH,UTC-5
75,2013-07-07,2013-07-02,3143,0.0,FL,UTC-5
77,2013-07-28,2013-07-19,2059,0.0,NM,UTC-7
176,2013-07-27,2013-07-27,473,0.0,NC,UTC-5
79,2013-08-14,2013-08-08,1242,0.0,AR,UTC-6
271,2013-09-14,2013-09-09,264,0.0,CA,UTC-8
178,2013-10-28,2013-10-27,476,0.0,AK,UTC-9
83,2013-11-14,2013-11-05,209,0.0,AK,UTC-9
84,2013-12-06,2013-12-05,1414,0.0,OK,UTC-6
129,2013-12-26,2013-12-20,1760,0.0,VT,UTC-5
341,2014-01-20,2014-01-09,4387,0.0,WV,UTC-5
86,2014-02-10,2014-02-06,4005,0.0,OR,UTC-8
179,2014-03-16,2014-03-01,4728,0.0,MT,UTC-7
180,2014-04-18,2014-04-15,1586,0.0,VT,UTC-5
342,2014-04-25,2014-04-25,1402,0.0,MI,UTC-5
273,2014-05-05,2014-05-05,437,0.0,OK,UTC-6
